crop_code,crop_name,crop_cat1,bln_country,B_LU,B_LU_EOM,B_LU_EOM_RESIDUE,B_LU_HC,B_LU_WATERSTRESS_OBIC,B_LU_MAKKINK
1087,"rozenstruiken (incl, zaailingen en onderstammen), pot- en containerveld",arable,NL,nl_1087,0,0,0.81,overig boomteelt,jong bos
1088,"sierconiferen, pot- en containerveld",arable,NL,nl_1088,0,0,0.81,overig boomteelt,jong bos
1089,"sierheesters en klimplanten, pot- en containerveld",arable,NL,nl_1089,0,0,0.81,overig boomteelt,jong bos
1090,"trek- en besheesters, pot- en containerveld",arable,NL,nl_1090,0,0,0.81,overig boomteelt,jong bos
1091,"vruchtbomen, moerbomen, pot- en containerveld",arable,NL,nl_1091,0,0,0.81,boomteelt,jong bos
1092,"vruchtbomen, onderstammen, pot- en containerveld",arable,NL,nl_1092,0,0,0.81,boomteelt,jong bos
1093,"vruchtbomen, overig, pot- en containerveld",arable,NL,nl_1093,0,0,0.81,boomteelt,jong bos
1094,"vaste planten, pot- en containerteelt",arable,NL,nl_1094,0,0,0.81,overig boomteelt,jong bos
1095,appels. aangeplant lopende seizoen.,arable,NL,nl_1095,4600,0,0.81,groot fruit,fruit
1096,appels. aangeplant voorafgaande aan lopende seizoen.,arable,NL,nl_1096,4600,0,0.81,groot fruit,fruit
1097,peren. aangeplant lopende seizoen.,arable,NL,nl_1097,5700,0,0.81,groot fruit,fruit
1098,peren. aangeplant voorafgaande aan lopende seizoen.,arable,NL,nl_1098,5700,0,0.81,groot fruit,fruit
1099,wijndruiven,arable,NL,nl_1099,0,0,0.81,klein fruit,fruit
1100,"overige pit- en steenvruchten (zoals perziken, tafeldruiven)",arable,NL,nl_1100,0,0,0.81,klein fruit,fruit
1570,klaverzaad,arable,NL,nl_1570,1200,0,0.32,overig,grasklaver
1574,definitief aan de landbouw onttrokken cultuurgrond,nature,NL,nl_1574,0,0,0.35,natuur,natuurlijk grasland
1575,faunaranden,nature,NL,nl_1575,0,0,0.35,natuur,natuurlijk grasland
1697,hazelnoten,arable,NL,nl_1697,0,0,0.35,overig,fruit
1698,walnoten,arable,NL,nl_1698,0,0,0.35,overig,fruit
1869,"bessen, blauwe",arable,NL,nl_1869,2850,0,0.81,klein fruit,fruit
1870,pruimen,arable,NL,nl_1870,5600,0,0.81,groot fruit,fruit
1872,"kersen, zuur (opbrengst bestemd voor verwerkende industrie)",arable,NL,nl_1872,0,0,0.81,klein fruit,fruit
1873,"bessen, zwarte (opbrengst verwerkt voor verwerkende industrie)",arable,NL,nl_1873,2850,0,0.81,klein fruit,fruit
1874,"overig kleinfruit (zoals kruisbessen, kiwi's)",arable,NL,nl_1874,0,0,0.81,klein fruit,fruit
1876,snijgroen,arable,NL,nl_1876,0,0,0.35,bladgroenten,overig
1909,"aardappelen, consumptie- op kleigrond",arable,NL,nl_1909,875,0,0.22,aardappel,aardappels
1910,"aardappelen, consumptie- op zand-/veengrond",arable,NL,nl_1910,875,0,0.22,aardappel,aardappels
1911,"aardappelen, cons. op kleigrond (vroeg, loofver voor 15-07)",arable,NL,nl_1911,875,0,0.22,aardappel,aardappels
1912,"aardappelen, cons. op zand/veen (vroeg, loofver voor 15-07)",arable,NL,nl_1912,875,0,0.22,aardappel,aardappels
1914,"graszaad, overig",grassland,NL,nl_1914,2300,0,0.32,grasland met herinzaai,grasland
1915,"graszaad, rietzwenkgras",grassland,NL,nl_1915,2300,0,0.32,grasland met herinzaai,grasland
1916,"graszaad, veldbeemd",grassland,NL,nl_1916,2300,0,0.32,grasland met herinzaai,grasland
1917,"graszaad, roodzwenkgras, 1e jaar",grassland,NL,nl_1917,1175,0,0.32,grasland met herinzaai,grasland
